context_id,device,dataset,best_accuracy_mean,best_accuracy_std,best_latency_mean,best_latency_std,hv_mean,hv_std,igd_plus_mean,igd_plus_std,c_metric_mean,c_metric_std,runtime_mean,runtime_std
1,edgegpu,cifar10,93.7744994,0.1735735498,0.950210565,0.7151424227,0.7418314531,0.07213126086,0.6234943992,0.1776525106,0,0,0.23205751,0.02407816892
2,edgetpu,cifar10,93.8286654,0.1407435389,0.420941297,0.07542058437,0.8412462094,0.02904639451,0.1663182884,0.04787889878,0,0,0.22271733,0.01173661425
3,eyeriss,cifar10,93.767167,0.2594710789,1.974452,0.4228214915,0.9271508125,0.06352920794,0.5847592218,0.2831362208,0,0,0.2513995,0.04804069636
4,fpga,cifar10,93.765,0.2475176761,1.6456,0.317690224,0.8820813895,0.03909428054,0.424714823,0.1039669581,0,0,0.23001996,0.003695107583
5,pixel3,cifar10,93.7926658,0.2313110723,0.616736531,0.6794669394,0.9403426323,0.006781781005,0.5870781918,0.185231325,0,0,0.24553678,0.04223793156
6,raspi4,cifar10,93.720334,0.2922587963,1.037474238,1.734283431,0.919014154,0.02535493759,1.118751432,0.5316257088,0,0,0.24117652,0.02130012567
7,edgegpu,cifar100,71.206001,1.221148809,0.575141422,0.03789178998,0.7455643058,0.04732333009,1.088338102,0.4414548157,0,0,0.24294102,0.02953292058
8,edgetpu,cifar100,70.7733335,0.770211841,0.458586982,0.06550550023,0.8493704198,0.04276293332,0.3209303995,0.1252794354,0,0,0.24442493,0.05052852203
9,eyeriss,cifar100,71.314333,0.8859099582,2.026624,0.1630187417,0.837955197,0.01988045461,0.8135067394,0.1912467856,0,0,0.23288763,0.01050512498
10,fpga,cifar100,71.0776666,0.7887344996,1.59536,0.3474948057,0.8105188618,0.06468407623,0.6658792357,0.1885798339,0,0,0.22883259,0.006928214348
11,pixel3,cifar100,71.5986654,0.900027973,0.704977382,0.7980989871,0.8885739348,0.01454755281,1.138560485,0.4240210805,0,0,0.23513805,0.01357162436
12,raspi4,cifar100,71.251999,0.6425552338,0.640838266,1.10273845,0.9053817519,0.01239065156,1.300167331,0.3705088136,0,0,0.23318845,0.004901092532
13,edgegpu,ImageNet16-120,45.4344441,0.5989180574,0.721136093,0.2648529419,0.7029217049,0.05625944809,0.7192166156,0.2568398773,0,0,0.23172032,0.00972984022
14,edgetpu,ImageNet16-120,45.050555,0.8207811739,0.39982435,0.02160372165,0.7600194443,0.03647223373,0.235845161,0.130259694,0,0,0.21929799,0.004949992285
15,eyeriss,ImageNet16-120,45.3188889,0.6319491858,0.54592,0.1317741195,0.829052501,0.05930773364,0.3630364364,0.1859478314,0,0,0.22267958,0.005689801962
16,fpga,ImageNet16-120,45.5777778,0.5494330786,0.388,0.05895647208,0.8204707919,0.03423499978,0.3465601734,0.1240194618,0,0,0.24067852,0.01775603442
17,pixel3,ImageNet16-120,45.3455558,0.7015405865,0.283697551,0.2701449394,0.8448961329,0.01790006984,0.5852721957,0.1726751007,0,0,0.27355406,0.09072655823
18,raspi4,ImageNet16-120,44.810555,0.4413392308,0.309504917,0.5173064241,0.8375075033,0.01207290199,0.5993855018,0.1560472341,0,0,0.24305788,0.03876378118
